"11ay -- Deaths, age-standardised and crude deaths rates by underlying cause of death (time series classification) and sex, whole population and persons aged 15-64, 1971-2024"

"Sex","Underlying cause of death (time series classification)","Year","Deaths, whole population","Age-standardised death rate, whole population (1/100 000)","Crude death rate, whole population (1/100 000)","Age-standardised death rate, whole population, annual change (%)","Deaths, aged 15-64","Age-standardised death rate, aged 15-64 (1/100 000)","Crude death rate, aged 15-64 (1/100 000)","Age-standardised death rate, aged 15-64, annual change (%)"
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2000",254,6.7,4.9,-6.9,53,1.6,1.5,-23.8
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2001",265,6.7,5.1,0.0,63,1.9,1.8,18.8
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2002",277,7.1,5.3,6.0,52,1.5,1.5,-21.1
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2003",287,7.2,5.5,1.4,61,1.8,1.8,20.0
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2004",267,6.5,5.1,-9.7,57,1.6,1.6,-11.1
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2005",281,6.8,5.4,4.6,59,1.7,1.7,6.3
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2006",266,6.1,5.1,-10.3,43,1.2,1.2,-29.4
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2007",391,9.0,7.4,47.5,65,1.8,1.8,50.0
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2008",370,8.1,7.0,-10.0,69,1.8,2.0,0.0
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2009",373,8.0,7.0,-1.2,65,1.8,1.8,0.0
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2010",381,8.0,7.1,0.0,59,1.6,1.7,-11.1
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2011",340,6.9,6.3,-13.8,71,1.9,2.0,18.8
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2012",250,4.9,4.6,-29.0,44,1.2,1.2,-36.8
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2013",277,5.4,5.1,10.2,44,1.2,1.3,0.0
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2014",267,5.1,4.9,-5.6,47,1.3,1.3,8.3
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2015",225,4.1,4.1,-19.6,40,1.1,1.2,-15.4
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2016",221,4.0,4.0,-2.4,47,1.3,1.4,18.2
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2017",245,4.3,4.4,7.5,41,1.2,1.2,-7.7
"Total","03 Other infectious and parasitic diseases (A00-A09, A20-B19, B25-B89, B91-B99)","2018",210,3.6,3.8,-16.3,37,1.1,1.1,-8.3
